company,industry,location,provider,headline,published_by,published_date,published_date_clean,activity_type,document_url,summary_text
,PE Resins,US,Exa,Track Dinitrochlorobenzene (DNCB) Price Report Historical and Forecast,www.openpr.com (ChemAnalyst),2026-01-23T00:00:00.000Z,2026-01-23 00:00:00+00:00,,https://www.openpr.com/news/4360816/track-dinitrochlorobenzene-dncb-price-report-historical,"Welcome to ChemAnalyst, a next-generation platform for chemical and petrochemical intelligence where innovation meets practical insight. Recognized as ""Product Innovator of the Year 2023"" and ranked among the ""Top 100 Digital Procurement Solutions Companies,"" we lead the digital transformation of the global chemical sector. Our online platform helps"
,PE Resins,US,Exa,January resin price hikes expected after flat December,www.plasticsnews.com,2026-01-22T00:00:00.000Z,2026-01-22 00:00:00+00:00,,https://www.plasticsnews.com/video-livestreams/polymer-points/pn-resin-price-increases-likely-january-ppl/,"January 2026 resin price hikes likely - Plastics News Polymer Points # January resin price hikes expected after flat December Gift Article Share DL By Don Loepp January 20, 2026 04:01 PM EST ## Featured Stories Processor of the Year Plastics News names 2025 Processor of the Year finalists"
,PE Resins,US,Exa,Low demand continues to pressurise recyclate prices in January,www.plasticsnews.com,2026-01-22T00:00:00.000Z,2026-01-22 00:00:00+00:00,,https://www.plasticsnews.com/resin-prices/sp-recyclate-prices-january-2026/,"Low demand continues to pressurise recyclate prices in January - Plastics News Polymer prices # Low demand continues to pressurise recyclate prices in January Gift Article Share Expand plastic recycling Plastic is ground at a recycling plant(File photo) DP By David Platt January 22, 2026 03:19 AM EST"
,PE Resins,US,Exa,"Polyolefin prices stable in January, PS turns upward",www.plasticsnews.com,2026-01-21T00:00:00.000Z,2026-01-21 00:00:00+00:00,,https://www.plasticsnews.com/resin-prices/sp-polymer-prices-january-2026/,"Polyolefin prices stable in January, PS turns upward - Plastics News Polymer prices # Polyolefin prices stable in January, PS turns upward Gift Article Share Expand The EPS Industry Alliance is backing an antitrust probe of the U.S. Plastics Pact and other groups by five states. (Sulzer) DP By David Platt"
,PE Resins,US,Exa,Polymer prices: January breakdown,www.plasticsnews.com,2026-01-21T00:00:00.000Z,2026-01-21 00:00:00+00:00,,https://www.plasticsnews.com/resin-prices/sp-polymer-prices-january-breakdown-2026/,"Polymer prices: January breakdown - Plastics News Polymer prices # Polymer prices: January breakdown Gift Article Share Expand Blue plastic pellets fall off a machine Stock photo(Caroline Seidel) DP By David Platt January 21, 2026 04:17 AM EST ## Featured Stories Processor of the Year"
,PE Resins,US,Exa,Global Specialty Oleochemicals Market Set for Strong Expansion Through 2033 | • BASF • Cargill,www.openpr.com (WMR),2026-01-19T00:00:00.000Z,2026-01-19 00:00:00+00:00,,https://www.openpr.com/news/4353132/global-specialty-oleochemicals-market-set-for-strong-expansion,"[ United States Oleochemicals Update] Oleochemicals Market Share, Size, Trends a …]"
,PE Resins,US,Exa,Top Resin Manufacturers Drive Innovation in the Global Chemical Industry,www.thenewsstar.com (Distributed by EIN Presswire),2026-01-18T00:00:00.000Z,2026-01-18 00:00:00+00:00,,https://www.thenewsstar.com/press-release/story/17951/top-resin-manufacturers-drive-innovation-in-the-global-chemical-industry/,Top Resin Manufacturers Drive Innovation in the Global Chemical Industry - The News-Star ***This page contains press release content distributed by XPR Media. Members of the editorial and news staff of the USA TODAY Network were not involved in the creation of this content.***| # Top Resin Manufacturers Drive Innovation in the Global Chemical Industry
,PE Resins,US,Exa,"Global Hydroxypropyl Methacrylate Market to Reach US$ 156 Million by 2032, Supported by Coatings Innovation, Advanced Polymer Chemistry, and Sustainable Material Development | QY Research","www.openpr.com (QY Research, Inc.)",2026-01-17T00:00:00.000Z,2026-01-17 00:00:00+00:00,,https://www.openpr.com/news/4352188/global-hydroxypropyl-methacrylate-market-to-reach-us-156,industry expertise to deliver actionable insights that support data-driven decision-making and long-term business growth.
,PE Resins,US,Exa,Track ButadienePrice Index Historical and Forecast,www.openpr.com (ChemAnalyst),2026-01-16T00:00:00.000Z,2026-01-16 00:00:00+00:00,,https://www.openpr.com/news/4349918/track-butadieneprice-index-historical-and-forecast,"ChemAnalyst provides buyers, producers, and traders with real-time market intelligence across the global Butadiene value chain. Through weekly price updates, quarterly forecasts, and plant-level supply tracking, ChemAnalyst enables procurement teams to anticipate market movements and optimize purchasing strategies."
,PE Resins,US,Exa,"High-Temperature Novolac CE Resin Market Outlook 2026-2032, Growth Opportunities, Eco-Friendly Innovations, and Industry Forecasts",www.openpr.com (QYResearch Inc.),2026-01-16T00:00:00.000Z,2026-01-16 00:00:00+00:00,,https://www.openpr.com/news/4350784/high-temperature-novolac-ce-resin-market-outlook-2026-2032,"High-Temperature Novolac CE Resin Market Outlook 2026-2032, openPR Logo * PR-Wiki * Imprint openPR.com openPR.de Search ** ** openPR Logo Press release"
,PE Resins,US,Exa,SAC Exchange Resin Market Research: at a CAGR of 4.20% during the forecast period,www.openpr.com (QY Research Inc.),2026-01-16T00:00:00.000Z,2026-01-16 00:00:00+00:00,,https://www.openpr.com/news/4350353/sac-exchange-resin-market-research-at-a-cagr-of-4-20-during,Download…** Comments about openPR
,PE Resins,US,Exa,"Incredible Growth of Polyamide 12 Market Projections 2026-2033: Key Trends, Opportunities, and Growth Factors in New Report |Arkema Group, DowDuPont Inc., Ensinger GmbH, Evonik Industries AG",www.openpr.com (Coherent Market Insights),2026-01-15T00:00:00.000Z,2026-01-15 00:00:00+00:00,,https://www.openpr.com/news/4349118/incredible-growth-of-polyamide-12-market-projections,"02-04-2020| Science & Education Orian Research Global Polyamide Resins Market Size, by Type (Reactive Polyamide Resins, Non-Rea …"
,PE Resins,US,Exa,QXO Boosts Funding to $3B as M&A Pipeline Accelerates,"www.wconline.com (Tanja Kern, Strategic Content Editor, Walls & Ceilings)",2026-01-12T00:00:00.000Z,2026-01-12 00:00:00+00:00,,https://www.wconline.com/articles/97961-qxo-boosts-funding-to-3b-as-m-and-a-pipeline-accelerates,"Sources said the current macroeconomic environment is creating a growing pool of attractive M&A opportunities, particularly for well-capitalized buyers. Slower new construction activity, combined with higher labor and insurance costs, has pressured margins across the sector, prompting some owners to explore strategic alternatives."
,PE Resins,US,Exa,Track Unsaturated Polyester Resin Price Trend Historical and Forecast,www.openpr.com (ChemAnalyst),2026-01-09T00:00:00.000Z,2026-01-09 00:00:00+00:00,,https://www.openpr.com/news/4341504/track-unsaturated-polyester-resin-price-trend-historical,"ChemAnalyst empowers buyers and supply-chain professionals with real-time market news, price updates, and expert analysis on over 450 commodities, including Unsaturated Polyester Resin. Its value proposition includes: Actionable price indices and trend reporting that reveal not just numbers, but why prices move."
,PE Resins,US,Exa,2026 ADI global chemicals outlook,adi-analytics.com (ADI Analytics),2026-01-09T00:00:00.000Z,2026-01-09 00:00:00+00:00,,https://adi-analytics.com/2026/01/09/2026-adi-chemicals-outlook/,"*ADI is a prestigious, boutique consulting firm specializing in oil and gas, energy, and chemicals since 2009. We bring deep expertise in a broad range of markets where we support Fortune 500, mid-sized and early-stage companies, and investors with consulting services, research reports, and data and analytics, with the goal of delivering actionable outcomes"
,PE Resins,US,Exa,PS prices jump in December,www.plasticsnews.com,2026-01-08T00:00:00.000Z,2026-01-08 00:00:00+00:00,,https://www.plasticsnews.com/resin-prices/pn-polystyrene-december-2025/,"Resin Prices # PS prices jump in December Gift Article Share Expand(Caroline Seidel) By\ \ Frank Esposito January 08, 2026 08:50 AM EST ## Featured Stories CFO of the Year Plastics News seeks nominations for 2026 CFO of the Year"
,PE Resins,US,Exa,"Polyplastics expands global capacity, debuts new PPS and LCP grades",www.plasticsnews.com,2026-01-07T00:00:00.000Z,2026-01-07 00:00:00+00:00,,https://www.plasticsnews.com/industry/k-show/pn-polyplastics-k2025-newppsgrades/,"Polyplastics expands global capacity, debuts new PPS and LCP grades - Plastics News K Show # Polyplastics expands global capacity, debuts new PPS and LCP grades Gift Article Share Expand Tim Kneale, vice president of the Polyplastics USA Inc. unit."
